Column1,Column2,Column3,Column4,Column5
0.08,0.27,2.13,-0.33,-0.96
-0.2,0.86,1.81,-0.44,-0.16
-0.14,1.24,1.22,-0.38,-0.52
0.02,1.73,0.68,-1.02,-0.54
0.49,1.68,0.68,-1.29,-0.69
0.65,2.21,0.45,-1.16,-1.03
0.27,2.13,-0.33,-0.96,-0.68
0.86,1.81,-0.44,-0.16,-0.54
1.24,1.22,-0.38,-0.52,-0.41
1.73,0.68,-1.02,-0.54,-0.75
1.68,0.68,-1.29,-0.69,-1.3
2.21,0.45,-1.16,-1.03,-1.48
2.13,-0.33,-0.96,-0.68,-1.3
1.81,-0.44,-0.16,-0.54,-0.92
1.22,-0.38,-0.52,-0.41,-0.89
0.68,-1.02,-0.54,-0.75,-1.1
0.68,-1.29,-0.69,-1.3,-1.08
0.45,-1.16,-1.03,-1.48,-1.08
-0.33,-0.96,-0.68,-1.3,-0.8
-0.44,-0.16,-0.54,-0.92,-0.63
-0.38,-0.52,-0.41,-0.89,-0.77
-1.02,-0.54,-0.75,-1.1,-0.74
-1.29,-0.69,-1.3,-1.08,-0.59
-1.16,-1.03,-1.48,-1.08,-0.59
-0.96,-0.68,-1.3,-0.8,-0.72
-0.16,-0.54,-0.92,-0.63,-0.78
-0.52,-0.41,-0.89,-0.77,-0.6
-0.54,-0.75,-1.1,-0.74,-0.52
-0.69,-1.3,-1.08,-0.59,-0.56
-1.03,-1.48,-1.08,-0.59,-0.33
-0.68,-1.3,-0.8,-0.72,-0.04
-0.54,-0.92,-0.63,-0.78,0.19
-0.41,-0.89,-0.77,-0.6,0.4
-0.75,-1.1,-0.74,-0.52,0.51
-1.3,-1.08,-0.59,-0.56,0.54
-1.48,-1.08,-0.59,-0.33,0.82
-1.3,-0.8,-0.72,-0.04,0.94
-0.92,-0.63,-0.78,0.19,0.82
-0.89,-0.77,-0.6,0.4,0.89
-1.1,-0.74,-0.52,0.51,0.45
-1.08,-0.59,-0.56,0.54,0.32
-1.08,-0.59,-0.33,0.82,0.72
-0.8,-0.72,-0.04,0.94,1.04
-0.63,-0.78,0.19,0.82,1.2
-0.77,-0.6,0.4,0.89,1.32
-0.74,-0.52,0.51,0.45,0.97
-0.59,-0.56,0.54,0.32,0.85
