DATE,NINO3.4,ANOM_3
1982-01-01,26.65,0.08
1982-02-01,26.54,-0.2
1982-03-01,27.09,-0.14
1982-04-01,27.83,0.02
1982-05-01,28.37,0.49
1982-06-01,28.35,0.65
1982-07-01,27.57,0.27
1982-08-01,27.76,0.86
1982-09-01,28.01,1.24
1982-10-01,28.5,1.73
1982-11-01,28.5,1.68
1982-12-01,28.85,2.21
1983-01-01,28.7,2.13
1983-02-01,28.54,1.81
1983-03-01,28.45,1.22
1983-04-01,28.49,0.68
1983-05-01,28.56,0.68
1983-06-01,28.16,0.45
1983-07-01,26.97,-0.33
1983-08-01,26.46,-0.44
1983-09-01,26.38,-0.38
1983-10-01,25.75,-1.02
1983-11-01,25.53,-1.29
1983-12-01,25.49,-1.16
1984-01-01,25.6,-0.96
1984-02-01,26.57,-0.16
1984-03-01,26.71,-0.52
1984-04-01,27.27,-0.54
1984-05-01,27.19,-0.69
1984-06-01,26.68,-1.03
1984-07-01,26.62,-0.68
1984-08-01,26.36,-0.54
1984-09-01,26.35,-0.41
1984-10-01,26.02,-0.75
1984-11-01,25.52,-1.3
1984-12-01,25.16,-1.48
1985-01-01,25.26,-1.3
1985-02-01,25.81,-0.92
1985-03-01,26.35,-0.89
1985-04-01,26.71,-1.1
1985-05-01,26.81,-1.08
1985-06-01,26.63,-1.08
1985-07-01,26.5,-0.8
1985-08-01,26.27,-0.63
1985-09-01,25.99,-0.77
1985-10-01,26.03,-0.74
1985-11-01,26.23,-0.59
1985-12-01,26.05,-0.59
1986-01-01,25.84,-0.72
1986-02-01,25.95,-0.78
1986-03-01,26.64,-0.6
1986-04-01,27.29,-0.52
1986-05-01,27.32,-0.56
1986-06-01,27.38,-0.33
1986-07-01,27.26,-0.04
1986-08-01,27.09,0.19
1986-09-01,27.16,0.4
1986-10-01,27.28,0.51
1986-11-01,27.36,0.54
1986-12-01,27.47,0.82
1987-01-01,27.51,0.94
1987-02-01,27.55,0.82
1987-03-01,28.12,0.89
1987-04-01,28.25,0.45
1987-05-01,28.2,0.32
1987-06-01,28.42,0.72
1987-07-01,28.34,1.04
1987-08-01,28.1,1.2
1987-09-01,28.08,1.32
1987-10-01,27.74,0.97
1987-11-01,27.67,0.85
1987-12-01,27.41,0.77
1988-01-01,27.23,0.67
1988-02-01,26.95,0.22
1988-03-01,27.29,0.06
1988-04-01,27.26,-0.55
1988-05-01,26.56,-1.32
1988-06-01,26.01,-1.7
1988-07-01,25.57,-1.73
1988-08-01,25.47,-1.43
1988-09-01,25.83,-0.93
1988-10-01,24.76,-2.01
1988-11-01,24.6,-2.22
1988-12-01,24.63,-2.01
1989-01-01,24.56,-2.0
1989-02-01,25.26,-1.48
1989-03-01,25.8,-1.44
1989-04-01,26.49,-1.32
1989-05-01,26.99,-0.89
1989-06-01,27.03,-0.67
1989-07-01,26.73,-0.57
1989-08-01,26.18,-0.72
1989-09-01,26.25,-0.51
1989-10-01,26.22,-0.55
1989-11-01,26.21,-0.62
1989-12-01,26.44,-0.2
1990-01-01,26.45,-0.11
1990-02-01,26.74,0.01
1990-03-01,27.05,-0.18
1990-04-01,27.74,-0.06
1990-05-01,27.92,0.04
1990-06-01,27.44,-0.26
1990-07-01,27.27,-0.03
1990-08-01,26.99,0.09
1990-09-01,26.73,-0.03
1990-10-01,26.95,0.18
1990-11-01,26.73,-0.09
1990-12-01,26.86,0.22
1991-01-01,26.89,0.33
1991-02-01,26.87,0.14
1991-03-01,27.16,-0.08
1991-04-01,27.89,0.08
1991-05-01,28.13,0.25
1991-06-01,28.1,0.39
1991-07-01,27.77,0.47
1991-08-01,27.5,0.6
1991-09-01,27.07,0.31
1991-10-01,27.41,0.64
1991-11-01,27.71,0.89
1991-12-01,28.14,1.5
1992-01-01,28.23,1.67
1992-02-01,28.28,1.55
1992-03-01,28.39,1.16
1992-04-01,28.81,1.0
1992-05-01,28.79,0.91
1992-06-01,28.12,0.42
1992-07-01,27.45,0.15
1992-08-01,26.82,-0.08
1992-09-01,26.6,-0.16
1992-10-01,26.27,-0.5
1992-11-01,26.64,-0.18
1992-12-01,26.78,0.14
1993-01-01,26.73,0.16
1993-02-01,27.07,0.34
1993-03-01,27.46,0.23
1993-04-01,28.13,0.32
1993-05-01,28.53,0.65
1993-06-01,27.86,0.15
1993-07-01,27.51,0.22
1993-08-01,26.86,-0.04
1993-09-01,27.0,0.24
1993-10-01,26.96,0.19
1993-11-01,26.9,0.08
1993-12-01,26.74,0.1
1994-01-01,26.58,0.02
1994-02-01,26.65,-0.08
1994-03-01,27.38,0.15
1994-04-01,27.88,0.08
1994-05-01,28.0,0.12
1994-06-01,27.84,0.13
1994-07-01,27.29,-0.01
1994-08-01,27.3,0.4
1994-09-01,27.04,0.28
1994-10-01,27.37,0.6
1994-11-01,27.73,0.91
1994-12-01,27.79,1.15
1995-01-01,27.32,0.75
1995-02-01,27.37,0.64
1995-03-01,27.53,0.3
1995-04-01,27.87,0.07
1995-05-01,27.67,-0.21
1995-06-01,27.35,-0.36
1995-07-01,27.09,-0.21
1995-08-01,26.33,-0.57
